"game_id","home_team","away_team","period_id","event_no","description","time_remaining","on_ice_situation","home_goals","away_goals","leader","team","event","first_player","first_number","second_player","second_number","third_player","third_number","shot_type","shot_result","goalie_involved","penalty","penalty_length","penalty_type","penalty_called","offensive_player_one","offensive_player_two","offensive_player_three","offensive_player_four","offensive_player_five","home_goalie","away_goalie"
268078,"CTW","BUF",2,49,"#26 Jordan Brickner giveaway to #17 Cassidy MacPherson1 GvA1 TkA","18:30","Even Strength","0 ","1","BUF","ConnecticutCTW","Giveaway","Jordan Brickner",26,"Cassidy MacPherson",17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,50,"#12 Kendra Broad saved by #37 Mariah Fujimagari","17:59","Even Strength","0 ","1","BUF","ConnecticutCTW","Shot","Kendra Broad",12,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,51,"#16 Hanna Beattie faceoff won against #88 Sara Bustad","17:59","Even Strength","0 ","1","BUF","ConnecticutCTW","Faceoff","Hanna Beattie",16,"Sara Bustad",88,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,52,"#88 Sara Bustad giveaway to #8 Erin Hall1 GvA1 TkA","17:58","Even Strength","0 ","1","BUF","BuffaloBUF","Giveaway","Sara Bustad",88,"Erin Hall",8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,53,"#15 Kandice Sheriff giveaway to #8 Erin Hall1 GvA2 TkA","17:49","Even Strength","0 ","1","BUF","BuffaloBUF","Giveaway","Kice Sheriff",15,"Erin Hall",8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,54,"#88 Sara Bustad giveaway to #6 Shannon Doyle2 GvA2 TkA","17:25","Even Strength","0 ","1","BUF","BuffaloBUF","Giveaway","Sara Bustad",88,"Shannon Doyle",6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,55,"#22 Becki Bowering faceoff won against #15 Emma Vlasic","17:08","Even Strength","0 ","1","BUF","BuffaloBUF","Faceoff","Becki Bowering",22,"Emma Vlasic",15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,56,"#16 Hanna Beattie saved by #37 Mariah Fujimagari","17:07","Even Strength","0 ","1","BUF","ConnecticutCTW","Shot","Hanna Beattie",16,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,57,"#22 Becki Bowering saved by #31 Sonjia Shelly","16:34","Even Strength","0 ","1","BUF","BuffaloBUF","Shot","Becki Bowering",22,"Sonjia Shelly",31,NA,NA,NA,"saved","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,58,"#4 Marie-Jo Pelletier giveaway to #94 Grace Klienbach2 GvA1 TkA","16:03","Even Strength","0 ","1","BUF","BuffaloBUF","Giveaway","Marie-Jo Pelletier",4,"Grace Klienbach",94,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,59,"#8 Iveta Klimasova saved by #31 Sonjia Shelly","15:24","Even Strength","0 ","1","BUF","BuffaloBUF","Shot","Iveta Klimasova",8,"Sonjia Shelly",31,NA,NA,NA,"saved","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,60,"#9 Kaycie Anderson saved by #37 Mariah Fujimagari","14:26","Even Strength","0 ","1","BUF","ConnecticutCTW","Shot","Kaycie Anderson",9,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,61,"#15 Emma Vlasic faceoff won against #17 Cassidy MacPherson","13:22","Even Strength","0 ","1","BUF","ConnecticutCTW","Faceoff","Emma Vlasic",15,"Cassidy MacPherson",17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,62,"#17 Cassidy MacPherson faceoff won against #15 Emma Vlasic","13:14","Even Strength","0 ","1","BUF","BuffaloBUF","Faceoff","Cassidy MacPherson",17,"Emma Vlasic",15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
