"event","team","time","description","event_no","period_id","desc","on_ice_situation","shot_type","shot_result","penalty_type","penalty_called","penalty_length","penalty","score","first_player","first_number","second_player","second_number","third_player","third_number","minute_start","second_start","clock","offensive_player_one","offensive_number_one","offensive_player_two","offensive_number_two","offensive_player_three","offensive_number_three","offensive_player_four","offensive_number_four","offensive_player_five","offensive_number_five","leader","away_goals","home_goals","sec_from_start","power_play_seconds","start_power_play","end_power_play","away_team","home_team","goalie_change","away_goalie","home_goalie","goalie_involved","time_elapsed","time_remaining","game_id"
"Shot BLK","BuffaloBUF","16:21","#15 Kandice Sheriff blocked by #16 Hanna Beattie1 Blk",34,1,"15 Kice Sheriff   16 Hanna Beattie","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 0 BUF","Kice Sheriff",15,"Hanna Beattie",16,NA,NA,16,21,"3:39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",981,NA,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","16:21","3:39",268078
"Shot","BuffaloBUF","16:32","#11 Megan Delay saved by #31 Sonjia Shelly",35,1,"11 Megan Delay   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Megan Delay",11,"Sonjia Shelly",31,NA,NA,16,32,"3:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",992,NA,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","16:32","3:28",268078
"Penalty","BuffaloBUF","17:12","#95 Taylor Accursi Interference against #24 Sarah HughsonMinor 2 minsPower Play",36,1,"95 Taylor Accursi   24 Sarah Hughson","Power Play",NA,NA,"Minor","Interference","2 mins",1,"1 - 0 BUF","Taylor Accursi",95,"Sarah Hughson",24,NA,NA,17,12,"2:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1032,120,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"17:12","2:48",268078
"Faceoff","BuffaloBUF","17:12","#88 Sara Bustad faceoff won against #21 Sarah Schwenzfeier",37,1,"88 Sara Bustad   21 Sarah Schwenzfeier","Power Play",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Sara Bustad",88,"Sarah Schwenzfeier",21,NA,NA,17,12,"2:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1032,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"17:12","2:48",268078
"Shot BLK","ConnecticutCTW","18:19","#6 Shannon Doyle blocked by #12 Ana Orzechowski1 Blk",38,1,"6 Shannon Doyle   12 Ana Orzechowski","Power Play",NA,"blocked",NA,NA,NA,0,"1 - 0 BUF","Shannon Doyle",6,"Ana Orzechowski",12,NA,NA,18,19,"1:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1099,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","18:19","1:41",268078
"Faceoff","ConnecticutCTW","18:32","#94 Grace Klienbach faceoff won against #22 Becki Bowering",39,1,"94 Grace Klienbach   22 Becki Bowering","Power Play",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Grace Klienbach",94,"Becki Bowering",22,NA,NA,18,32,"1:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1112,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"18:32","1:28",268078
"Shot","ConnecticutCTW","18:59","#26 Jordan Brickner saved by #37 Mariah Fujimagari",40,1,"26 Jordan Brickner   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Jordan Brickner",26,"Mariah Fujimagari",37,NA,NA,18,59,"1:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1139,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","18:59","1:01",268078
"Giveaway","ConnecticutCTW","19:14","#24 Sarah Hughson giveaway to #4 Marie-Jo Pelletier2 GvA2 TkA",41,1,"24 Sarah Hughson   4 Marie-Jo Pelletier","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Sarah Hughson",24,"Marie-Jo Pelletier",4,NA,NA,19,14,"0:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1154,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"19:14","0:46",268078
"Faceoff","ConnecticutCTW","00:11","#15 Emma Vlasic faceoff won against #22 Becki Bowering",42,2,"15 Emma Vlasic   22 Becki Bowering","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Emma Vlasic",15,"Becki Bowering",22,NA,NA,0,11,"19:49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1211,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"00:11","19:49",268078
"Faceoff","BuffaloBUF","00:11","#22 Becki Bowering faceoff won against #15 Emma Vlasic",43,2,"22 Becki Bowering   15 Emma Vlasic","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Becki Bowering",22,"Emma Vlasic",15,NA,NA,0,11,"19:49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1211,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"00:11","19:49",268078
